subject_cui,subject_name,subject_semtype,predicate,object_cui,object_name,object_semtype,first_year,first_pmid,citation_pmid,first_issn,first_sentence_id
10057,ABCC5,gngm,ADMINISTERED_TO,C0553257,Renal Cell,cell,2010,19903828,19903828,,19546579
10257,ABCC4,aapp,ADMINISTERED_TO,C0553257,Renal Cell,cell,2010,19903828,19903828,,19546579
1244,ABCC2,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,20012942,20012942,,27443248
1747,DLX3,gngm,ADMINISTERED_TO,C0222677,Cell of bone,cell,2010,19995912,19995912,,7094949
1749,DLX5,gngm,ADMINISTERED_TO,C0222677,Cell of bone,cell,2010,19995912,19995912,,7094949
2358,FPR2,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,19903830,19903830,,19548260
2358,FPR2,aapp,ADMINISTERED_TO,C0282549,HL-60 Cells,cell,2010,19903830,19903830,,19548880
255022,CALHM1,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,19944073,19944073,,23608135
284403,WDR62,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,19910486,19910486,,22943122
2922,GRP,aapp,ADMINISTERED_TO,C0227525,Hepatocyte,cell,2010,24031525,24031525,,29076179
3110,MNX1,aapp,ADMINISTERED_TO,C0007600,Cell Line,cell,2010,19950213,19950213,,27220068
3429|5715|10534|10671|51014,IFI27|PSMD9|SSSCA1|DCTN6|TMED7,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,24926323,24926323,,24171984
367,AR,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,20004643,20004643,,22462551
3670,ISL1,gngm,ADMINISTERED_TO,C0007600,Cell Line,cell,2010,19950213,19950213,,27220068
3783,KCNN4,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,19968715,19968715,,2443614
4591,TRIM37,aapp,ADMINISTERED_TO,C0737240,Somatic cell,cell,2010,19937273,19937273,,19837978
51286,CEND1,aapp,ADMINISTERED_TO,C0027882,Neurons,cell,2010,19911428,19911428,,23463999
51761,ATP8A2,aapp,ADMINISTERED_TO,C0206116,Microglia,cell,2010,20013313,20013313,,27700101
5460,POU5F1,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,24693156,24693156,,20518655
5879,RAC1,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,20008333,20008333,,24992724
6098,ROS1,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,19944085,19944085,,23621026
64866,CDCP1,aapp,ADMINISTERED_TO,C0018873,Hela Cells,cell,2010,19916495,19916495,,26503108
6657,SOX2,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,24693156,24693156,,20518655
7804,LRP8,gngm,ADMINISTERED_TO,C0221284,Leptocyte,cell,2010,19948739,19948739,,26270657
79727,LIN28A,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,24693156,24693156,,20518655
79923,NANOG,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,24693156,24693156,,20518655
84876,ORAI1,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,19997763,19997763,,19064170
860,RUNX2,aapp,ADMINISTERED_TO,C0029418,Osteoblasts,cell,2010,19950014,19950014,,27089002
860,RUNX2,aapp,ADMINISTERED_TO,C0222677,Cell of bone,cell,2010,19995912,19995912,,7094949
9332,CD163,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,19939927,19939927,,21200318
C0000379,"3,4-Methylenedioxyamphetamine",orch,ADMINISTERED_TO,C0034693,Rattus norvegicus,mamm,2010,20008456,20008456,,25057270
C0000983,Acetic Acid,orch,ADMINISTERED_TO,C0026809,Mus,mamm,2010,19950048,19950048,,27108820
C0001480,Adenosine Triphosphate,bacs,ADMINISTERED_TO,C0026473,monocyte,cell,2010,20007545,20007545,,24402677
C0001617,Adrenal Cortex Hormones,horm,ADMINISTERED_TO,C0030705,Patients,humn,2010,19908054,19908054,,21668062
C0001617,Adrenal Cortex Hormones,horm,ADMINISTERED_TO,C0043210,Woman,humn,2010,19910178,19910178,,22763696
C0001655,Corticotropin,aapp,ADMINISTERED_TO,C0003062,Animals,anim,2010,20012496,20012496,,27131878
C0001694,Aequorin,aapp,ADMINISTERED_TO,C0018873,Hela Cells,cell,2010,19944073,19944073,,23608135
C0001771,Agar,carb,ADMINISTERED_TO,C0025932,"Mice, Nude",mamm,2010,19915934,19915934,,26216969
C0001962,Ethanol,orch,ADMINISTERED_TO,C0003062,Animals,anim,2010,20004707,20004707,,22533890
C0001962,Ethanol,orch,ADMINISTERED_TO,C0020114,Human,humn,2010,26242453,26242453,,28413852
C0002367,Aluminum,elii,ADMINISTERED_TO,C0021270,Infant,humn,2010,20010978,20010978,,26258217
C0002475,Mitomycin,orch,ADMINISTERED_TO,C0085080,Chinese Hamster Ovary Cell,cell,2010,19950402,19950402,,27333666
C0002658,Amphetamine,nsba,ADMINISTERED_TO,C0034693,Rattus norvegicus,mamm,2010,19953655,19953655,,28962890
C0002691,Amputation above-knee,topp,ADMINISTERED_TO,C0030705,Patients,humn,2010,20004104,20004104,,22131337
C0002772,"Analgesics, Opioid",orch,ADMINISTERED_TO,C0031831,Physicians,humn,2010,19903933,19903933,,19626718
C0002915,General Anesthesia,topp,ADMINISTERED_TO,C0012984,Canis familiaris,mamm,2010,20009350,20009350,,25532203
C0002915,General Anesthesia,topp,ADMINISTERED_TO,C0030705,Patients,humn,2010,19910265,19910265,,22814332
C0002978,angiogram,diap,ADMINISTERED_TO,C0030705,Patients,humn,2010,19936961,19936961,,19636249
C0002979,"Angiography, Digital Subtraction",diap,ADMINISTERED_TO,C0030705,Patients,humn,2010,24148598,24148598,,22545812
C0003009|283,Angiotensin II|ANG,bacs,ADMINISTERED_TO,C0034693,Rattus norvegicus,mamm,2010,19996065,19996065,,7193366
C0003011,"Receptor, Angiotensin II",rcpt,ADMINISTERED_TO,C0030705,Patients,humn,2010,19969025,19969025,,2741116
C0003015,Angiotensin-Converting Enzyme Inhibitors,phsu,ADMINISTERED_TO,C0030705,Patients,humn,2010,19969025,19969025,,2741116
C0003036,Aniline,hops,ADMINISTERED_TO,C0034693,Rattus norvegicus,mamm,2010,19969074,19969074,,2810492
C0003211,"Anti-Inflammatory Agents, Non-Steroidal",phsu,ADMINISTERED_TO,C0030705,Patients,humn,2010,20012550,20012550,,27165925
C0003232,Antibiotics,antb,ADMINISTERED_TO,C0030705,Patients,humn,2010,19951142,19951142,,27724760
C0003241,Antibodies,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,20012823,20012823,,27353569
C0003241,Antibodies,aapp,ADMINISTERED_TO,C0014792,Erythrocytes,cell,2010,19948834,19948834,,26334269
C0003241,Antibodies,imft,ADMINISTERED_TO,C0034693,Rattus norvegicus,mamm,2010,19904286,19904286,,19743584
C0003241,Antibodies,imft,ADMINISTERED_TO,C0683972,preadolescent,humn,2010,19946212,19946212,,24894226
C0003241,Antibodies,imft,ADMINISTERED_TO,C1257890,Population Group,humn,2010,19915158,19915158,,25809714
C0003242,"Antibodies, Anti-Idiotypic",imft,ADMINISTERED_TO,C0026809,Mus,mamm,2010,20005217,20005217,,22854290
C0003250,Monoclonal Antibodies,imft,ADMINISTERED_TO,C0003062,Animals,anim,2010,20012496,20012496,,27131878
C0003250,Monoclonal Antibodies,imft,ADMINISTERED_TO,C0007970,Cheetahs,mamm,2010,19913304,19913304,,24626429
C0003250,Monoclonal Antibodies,aapp,ADMINISTERED_TO,C0011306,Dendritic Cells,cell,2010,19941115,19941115,,21934568
C0003250,Monoclonal Antibodies,imft,ADMINISTERED_TO,C0023756,Panthera leo,mamm,2010,19913304,19913304,,24626429
C0003250,Monoclonal Antibodies,imft,ADMINISTERED_TO,C0030705,Patients,humn,2010,19904753,19904753,,20000729
C0003286,Anticonvulsants,phsu,ADMINISTERED_TO,C0030705,Patients,humn,2010,20005782,20005782,,23251620
C0003289,Antidepressive Agents,phsu,ADMINISTERED_TO,C0205653,Adolescent,humn,2010,19915066,19915066,,25726131
