subject_cui,subject_name,subject_semtype,predicate,object_cui,object_name,object_semtype,first_year,first_pmid,citation_pmid,first_issn,first_sentence_id,Questions,Model_Answer,Similarity,Correct_Flag,Target_Object
10057,ABCC5,gngm,ADMINISTERED_TO,C0553257,Renal Cell,cell,2010,19903828,19903828,,19546579,To which cell types is ABCC5 typically administered?,Cancer cells,0.4461038410663605,0,Renal Cell
10257,ABCC4,aapp,ADMINISTERED_TO,C0553257,Renal Cell,cell,2010,19903828,19903828,,19546579,To which cell types is ABCC4 typically administered?,Cancer cells,0.4461038410663605,0,Renal Cell
1244,ABCC2,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,20012942,20012942,,27443248,To which cell types is ABCC2 typically administered?,Enterocytes,0.5239802002906799,0,Cells
1747,DLX3,gngm,ADMINISTERED_TO,C0222677,Cell of bone,cell,2010,19995912,19995912,,7094949,To which cell types is DLX3 typically administered?,Osteoblasts,0.5299913287162781,0,Cell of bone
1749,DLX5,gngm,ADMINISTERED_TO,C0222677,Cell of bone,cell,2010,19995912,19995912,,7094949,To which cell types is DLX5 typically administered?,Osteoblasts,0.5299913287162781,0,Cell of bone
2358,FPR2,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,19903830,19903830,,19548260,To which cell types is FPR2 typically administered?,Neutrophils,0.3113388419151306,0,Cells
2358,FPR2,aapp,ADMINISTERED_TO,C0282549,HL-60 Cells,cell,2010,19903830,19903830,,19548880,To which cell types is FPR2 typically administered?,Neutrophils,0.2926734685897827,0,HL-60 Cells
255022,CALHM1,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,19944073,19944073,,23608135,To which cell types is CALHM1 typically administered?,Pancreatic beta cells,1,1,Cells
284403,WDR62,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,19910486,19910486,,22943122,To which cell types is WDR62 typically administered?,Neural stem cells,1,1,Cells
2922,GRP,aapp,ADMINISTERED_TO,C0227525,Hepatocyte,cell,2010,24031525,24031525,,29076179,To which cell types is GRP typically administered?,Gastric parietal cells,0.2466791272163391,0,Hepatocyte
3110,MNX1,aapp,ADMINISTERED_TO,C0007600,Cell Line,cell,2010,19950213,19950213,,27220068,To which cell types is MNX1 typically administered?,Neutrophils,0.18240155279636383,0,Cell Line
3429|5715|10534|10671|51014,IFI27|PSMD9|SSSCA1|DCTN6|TMED7,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,24926323,24926323,,24171984,To which cell types is IFI27|PSMD9|SSSCA1|DCTN6|TMED7 typically administered?,Dendritic cells,1,1,Cells
367,AR,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,20004643,20004643,,22462551,To which cell types is AR typically administered?,Adrenal cortical cells,1,1,Cells
3670,ISL1,gngm,ADMINISTERED_TO,C0007600,Cell Line,cell,2010,19950213,19950213,,27220068,To which cell types is ISL1 typically administered?,Cardiomyocytes,0.32843202352523804,0,Cell Line
3783,KCNN4,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,19968715,19968715,,2443614,To which cell types is KCNN4 typically administered?,Smooth muscle cells,1,1,Cells
4591,TRIM37,aapp,ADMINISTERED_TO,C0737240,Somatic cell,cell,2010,19937273,19937273,,19837978,To which cell types is TRIM37 typically administered?,Pluripotent stem cells,0.4205227792263031,0,Somatic cell
51286,CEND1,aapp,ADMINISTERED_TO,C0027882,Neurons,cell,2010,19911428,19911428,,23463999,To which cell types is CEND1 typically administered?,T cells,0.3705919682979584,0,Neurons
51761,ATP8A2,aapp,ADMINISTERED_TO,C0206116,Microglia,cell,2010,20013313,20013313,,27700101,To which cell types is ATP8A2 typically administered?,Leukocytes,0.39589568972587585,0,Microglia
5460,POU5F1,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,24693156,24693156,,20518655,To which cell types is POU5F1 typically administered?,Stem cells,1,1,Cells
5879,RAC1,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,20008333,20008333,,24992724,To which cell types is RAC1 typically administered?,Neutrophils,0.3113388419151306,0,Cells
6098,ROS1,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,19944085,19944085,,23621026,To which cell types is ROS1 typically administered?,Non-small cell lung cancer,0.2704644799232483,0,Cells
64866,CDCP1,aapp,ADMINISTERED_TO,C0018873,Hela Cells,cell,2010,19916495,19916495,,26503108,To which cell types is CDCP1 typically administered?,Dendritic cells,0.29340723156929016,0,Hela Cells
6657,SOX2,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,24693156,24693156,,20518655,To which cell types is SOX2 typically administered?,Stem cells,1,1,Cells
7804,LRP8,gngm,ADMINISTERED_TO,C0221284,Leptocyte,cell,2010,19948739,19948739,,26270657,To which cell types is LRP8 typically administered?,Osteoblasts,0.17704086005687714,0,Leptocyte
79727,LIN28A,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,24693156,24693156,,20518655,To which cell types is LIN28A typically administered?,Pluripotent stem cells,1,1,Cells
79923,NANOG,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,24693156,24693156,,20518655,To which cell types is NANOG typically administered?,Embryonic stem cells,1,1,Cells
