subject_cui,subject_name,subject_semtype,predicate,object_cui,object_name,object_semtype,first_year,first_pmid,citation_pmid,first_issn,first_sentence_id,Questions
C0011900,Diagnosis,hlca,ADMINISTERED_TO,C0030705,Patients,humn,2010,27755799,27755799,,16904164,To which patients or groups is Diagnosis typically administered?
C0020934,Imipramine,orch,ADMINISTERED_TO,C0034693,Rattus norvegicus,mamm,2010,18982003,18982003,,121354865,To which species is Imipramine typically administered?
C0021153,Decompressive incision,topp,ADMINISTERED_TO,C0030705,Patients,humn,2010,19902277,19902277,,18654668,To which patients or groups is Decompressive incision typically administered?
C0025241,Melphalan,phsu,ADMINISTERED_TO,C0030705,Patients,humn,2010,19966851,19966851,,981352,To which patients or groups is Melphalan typically administered?
C0041290,Tuberculin Test,diap,ADMINISTERED_TO,C0030705,Patients,humn,2010,18985452,18985452,,121372875,To which patients or groups is Tuberculin Test typically administered?
C0085208,Bupropion,orch,ADMINISTERED_TO,C0034693,Rattus norvegicus,mamm,2010,18982003,18982003,,121354865,To which species is Bupropion typically administered?
C0087111,Therapeutic procedure,topp,ADMINISTERED_TO,C0027361,Persons,humn,2010,27755791,27755791,,16901763,To which patients or groups is Therapeutic procedure typically administered?
C0087111,Therapeutic procedure,topp,ADMINISTERED_TO,C0030705,Patients,humn,2010,27721359,27721359,,1264409,To which patients or groups is Therapeutic procedure typically administered?
C0087111,Therapeutic procedure,topp,ADMINISTERED_TO,C0871489,Teams,humn,2010,27744801,27744801,,12873675,To which patients or groups is Therapeutic procedure typically administered?
C0198373,Thoracoscopy and biopsy of intrathoracic organ,diap,ADMINISTERED_TO,C0030705,Patients,humn,2010,27755799,27755799,,16904164,To which patients or groups is Thoracoscopy and biopsy of intrathoracic organ typically administered?
C0393080,voriconazole,orch,ADMINISTERED_TO,C0376387,"Recipient, Transplant",humn,2010,19966844,19966844,,976375,To which patients or groups is voriconazole typically administered?
C0851027,Medical exam,diap,ADMINISTERED_TO,C0030705,Patients,humn,2010,19997070,19997070,,18703715,To which patients or groups is Medical exam typically administered?
C1178562,Campath 1H,imft,ADMINISTERED_TO,C0030705,Patients,humn,2010,19966846,19966846,,978042,To which patients or groups is Campath 1H typically administered?
57379,AICDA,gngm,AFFECTS,C0598494,derepression,genf,2010,19966806,19966806,,955226,Which medical entities does AICDA primarily affect?
