Class_Year,precision,recall,f1-score,support
0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,81.0
2011,0.0,0.0,0.0,71.0
2012,0.069,0.029,0.0408,69.0
2013,0.0,0.0,0.0,68.0
2014,0.0,0.0,0.0,65.0
2015,0.0,0.0,0.0,83.0
2016,0.0,0.0,0.0,61.0
2017,0.0,0.0,0.0,58.0
2018,0.0,0.0,0.0,59.0
2019,0.0,0.0,0.0,67.0
2020,0.0,0.0,0.0,70.0
2021,0.0,0.0,0.0,64.0
2022,0.0,0.0,0.0,62.0
2023,0.0,0.0,0.0,56.0
2024,0.0,0.0,0.0,66.0
accuracy,0.002,0.002,0.002,0.002
macro avg,0.0043,0.0018,0.0026,1000.0
weighted avg,0.0048,0.002,0.0028,1000.0
