Class_Year,precision,recall,f1-score,support
0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,81.0
2011,0.1429,0.0423,0.0652,71.0
2012,0.0,0.0,0.0,69.0
2013,0.1111,0.0441,0.0632,68.0
2014,0.1852,0.0769,0.1087,65.0
2015,0.0455,0.012,0.019,83.0
2016,0.0,0.0,0.0,61.0
2017,0.0625,0.0172,0.027,58.0
2018,0.0286,0.0169,0.0213,59.0
2019,0.1096,0.1194,0.1143,67.0
2020,0.0833,0.0714,0.0769,70.0
2021,0.125,0.0625,0.0833,64.0
2022,0.0682,0.0484,0.0566,62.0
2023,0.1111,0.0893,0.099,56.0
2024,0.129,0.0606,0.0825,66.0
accuracy,0.043,0.043,0.043,0.043
macro avg,0.0751,0.0413,0.0511,1000.0
weighted avg,0.079,0.043,0.0533,1000.0
