Class_Year,precision,recall,f1-score,support
0,0.0,0.0,0.0,0.0
2010,0.2222,0.0247,0.0444,81.0
2011,0.125,0.0141,0.0253,71.0
2012,0.0,0.0,0.0,69.0
2013,0.1429,0.0147,0.0267,68.0
2014,0.0,0.0,0.0,65.0
2015,0.05,0.0241,0.0325,83.0
2016,0.0,0.0,0.0,61.0
2017,0.0,0.0,0.0,58.0
2018,0.125,0.0169,0.0299,59.0
2019,0.0,0.0,0.0,67.0
2020,0.3333,0.0143,0.0274,70.0
2021,0.0,0.0,0.0,64.0
2022,0.0,0.0,0.0,62.0
2023,0.0,0.0,0.0,56.0
2024,0.0,0.0,0.0,66.0
accuracy,0.008,0.008,0.008,0.008
macro avg,0.0624,0.0068,0.0116,1000.0
weighted avg,0.0714,0.008,0.0136,1000.0
