Class_Year,precision,recall,f1-score,support
0,0.0,0.0,0.0,0.0
2010,0.026,0.0317,0.0286,63.0
2011,0.0,0.0,0.0,77.0
2012,0.0811,0.0822,0.0816,73.0
2013,0.0,0.0,0.0,103.0
2014,0.0,0.0,0.0,100.0
2015,0.0722,0.0707,0.0714,99.0
2016,0.1667,0.0247,0.043,81.0
2017,0.2759,0.0879,0.1333,91.0
2018,0.1818,0.087,0.1176,92.0
2019,0.2941,0.0549,0.0926,91.0
2020,0.2273,0.0562,0.0901,89.0
2021,1.0,0.0244,0.0476,41.0
2022,0.0,0.0,0.0,0.0
accuracy,0.044,0.044,0.044,0.044
macro avg,0.1661,0.0371,0.0504,1000.0
weighted avg,0.158,0.044,0.0597,1000.0
