Class_Year,precision,recall,f1-score,support
0,0.0,0.0,0.0,0.0
2010,0.1296,0.1111,0.1197,63.0
2011,0.0645,0.0519,0.0576,77.0
2012,0.1489,0.0959,0.1167,73.0
2013,0.1205,0.0971,0.1075,103.0
2014,0.1282,0.05,0.0719,100.0
2015,0.0661,0.0808,0.0727,99.0
2016,0.1923,0.0617,0.0935,81.0
2017,0.1915,0.0989,0.1304,91.0
2018,0.1111,0.1522,0.1284,92.0
2019,0.0899,0.1758,0.119,91.0
2020,0.1776,0.3034,0.2241,89.0
2021,0.1429,0.0488,0.0727,41.0
2022,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0
accuracy,0.114,0.114,0.114,0.114
macro avg,0.1042,0.0885,0.0876,1000.0
weighted avg,0.1289,0.114,0.111,1000.0
