Class_Year,precision,recall,f1-score,support
0,0.0,0.0,0.0,0.0
2010,0.0526,0.0794,0.0633,63.0
2011,0.3333,0.013,0.025,77.0
2012,0.0901,0.137,0.1087,73.0
2013,0.0,0.0,0.0,103.0
2014,0.2,0.01,0.019,100.0
2015,0.15,0.0303,0.0504,99.0
2016,0.4,0.0494,0.0879,81.0
2017,0.3077,0.044,0.0769,91.0
2018,0.1268,0.2826,0.1751,92.0
2019,0.2222,0.044,0.0734,91.0
2020,0.241,0.2247,0.2326,89.0
2021,1.0,0.0488,0.093,41.0
2022,0.0,0.0,0.0,0.0
2028,0.0,0.0,0.0,0.0
accuracy,0.08,0.08,0.08,0.08
macro avg,0.2083,0.0642,0.067,1000.0
weighted avg,0.2251,0.08,0.0822,1000.0
