Class_Year,precision,recall,f1-score,support
2010,0.09090909090909091,0.07692307692307693,0.08333333333333333,13.0
2011,0.07142857142857142,0.06666666666666667,0.06896551724137931,15.0
2012,0.07142857142857142,0.06666666666666667,0.06896551724137931,15.0
2013,0.08,0.09523809523809523,0.08695652173913043,21.0
2014,0.06896551724137931,0.1,0.08163265306122448,20.0
2015,0.15,0.15,0.15,20.0
2016,0.0,0.0,0.0,16.0
2017,0.15789473684210525,0.16666666666666666,0.16216216216216217,18.0
2018,0.07142857142857142,0.05555555555555555,0.0625,18.0
2019,0.07407407407407407,0.1111111111111111,0.08888888888888889,18.0
2020,0.11764705882352941,0.1111111111111111,0.11428571428571428,18.0
2021,0.0,0.0,0.0,8.0
accuracy,0.09,0.09,0.09,0.09
macro avg,0.0794813493479911,0.08332824582824583,0.08064085899610103,200.0
weighted avg,0.08481392805265978,0.09,0.08656050322191358,200.0
