Class_Year,precision,recall,f1-score,support
2010,0.04878048780487805,0.057971014492753624,0.052980132450331126,69.0
2011,0.07246376811594203,0.07692307692307693,0.07462686567164178,65.0
2012,0.06382978723404255,0.043478260869565216,0.05172413793103448,69.0
2013,0.0898876404494382,0.11940298507462686,0.10256410256410256,67.0
2014,0.05263157894736842,0.05714285714285714,0.0547945205479452,70.0
2015,0.11864406779661017,0.10144927536231885,0.109375,69.0
2016,0.1076923076923077,0.109375,0.10852713178294573,64.0
2017,0.034482758620689655,0.030303030303030304,0.03225806451612903,66.0
2018,0.11267605633802817,0.11940298507462686,0.11594202898550725,67.0
2019,0.07042253521126761,0.07352941176470588,0.07194244604316546,68.0
2020,0.1111111111111111,0.1076923076923077,0.109375,65.0
2021,0.07352941176470588,0.07575757575757576,0.07462686567164178,66.0
2022,0.14285714285714285,0.140625,0.14173228346456693,64.0
2023,0.05,0.046153846153846156,0.048,65.0
2024,0.06779661016949153,0.06060606060606061,0.064,66.0
accuracy,0.081,0.081,0.081,0.081
macro avg,0.08112035094086827,0.08132084581449012,0.0808312386419341,1000.0
weighted avg,0.0808221717626397,0.081,0.0805142124763199,1000.0
